
Processing get_correlation_functions.cxx++...


TWO POINT CORRELATION: ../tsrc0/nuc3pt.dat.608

14	1.19796e+10	4.22916e+09	3.06387e+09	1.35369e+09
15	8.27359e+09	4.79784e+09	2.68282e+09	1.92035e+09
16	4.34207e+09	4.08748e+09	2.41577e+09	1.59358e+09
17	1.10974e+09	2.99098e+09	2.12121e+09	9.75496e+08
18	-3.03218e+08	2.12976e+09	1.99587e+09	6.74081e+08
19	-9.37278e+08	1.06397e+09	1.64696e+09	1.27738e+08
20	-1.27101e+09	1.41035e+08	1.17854e+09	-3.62853e+08
21	-1.51139e+09	-9.14122e+08	7.32224e+08	-4.41024e+08
22	-1.4696e+09	-1.35552e+09	3.15135e+08	-3.66163e+08
23	-1.13447e+09	-9.24683e+08	-1.17872e+08	-2.87366e+08
24	-7.51111e+08	-1.56354e+08	-2.89781e+08	-1.51142e+08
25	-2.78744e+07	5.68906e+08	-2.79062e+08	1.69815e+08
26	4.23991e+08	1.02614e+09	-2.07573e+08	3.13538e+08
27	3.97804e+08	9.5726e+08	-2.45016e+08	2.69344e+08
28	3.77036e+08	6.99914e+08	-2.80442e+08	2.03356e+08
29	4.69204e+08	5.32256e+08	-2.18062e+08	1.80214e+08
30	5.47562e+08	3.07918e+08	-1.51367e+08	1.29961e+08
31	4.4236e+08	3.83982e+07	-9.84674e+07	3.50186e+07
32	2.60157e+08	-2.50451e+08	-5.90173e+07	-3.22369e+07
33	1.60192e+08	-4.81056e+08	-6.25711e+07	-1.30816e+08
34	5.89861e+07	-5.772e+08	-4.45369e+07	-2.08677e+08
35	-8.53722e+07	-6.47693e+08	-2.92201e+06	-2.99598e+08
36	-9.96569e+07	-6.85121e+08	3.43276e+07	-3.31351e+08
37	-5.51611e+07	-6.67439e+08	4.03062e+07	-3.30717e+08
38	-7.78352e+07	-7.01434e+08	5.11413e+06	-3.64561e+08
39	-1.31732e+08	-6.99056e+08	-6.12401e+07	-3.93841e+08
40	-1.43849e+08	-5.21758e+08	-8.1017e+07	-3.97681e+08
41	-1.16783e+08	-3.66725e+08	-2.96437e+07	-3.45647e+08
42	-8.78139e+07	-3.43015e+08	5.85565e+07	-2.75689e+08
43	-7.38417e+07	-4.20709e+08	1.51335e+08	-1.88303e+08
44	-2.09053e+08	-4.52307e+08	2.0373e+08	-1.75604e+08
45	-5.53681e+08	-3.25806e+08	1.81226e+08	-1.45788e+08
46	-1.04652e+09	-2.8671e+08	-1.11601e+07	-2.74979e+08
47	-1.42436e+09	-4.16775e+08	-3.72388e+08	-6.38481e+08
48	-1.81737e+09	-6.2063e+08	-7.34314e+08	-1.13558e+09
49	-2.18394e+09	-6.63717e+08	-1.06409e+09	-1.86613e+09
50	-2.1935e+09	-8.84145e+08	-1.17561e+09	-2.64964e+09
51	-2.13882e+09	-1.35751e+09	-1.00926e+09	-3.16351e+09
52	-1.85088e+09	-1.26863e+09	-6.91594e+08	-3.1105e+09
53	-1.63961e+09	-1.01388e+09	-1.97632e+08	-3.0314e+09
54	-1.2728e+09	-1.04414e+09	3.6698e+08	-2.96636e+09
55	-3.08535e+07	-1.15832e+09	1.7246e+09	-2.56186e+09
56	2.40204e+09	-1.17899e+09	4.22223e+09	-1.64047e+09
57	4.41308e+09	-1.0984e+09	6.6821e+09	-9.01649e+08
58	5.88176e+09	-2.64363e+09	9.29126e+09	-1.35047e+09
59	6.293e+09	-4.86451e+09	1.15965e+10	-1.38079e+09
60	7.33852e+09	-4.93658e+09	1.36095e+10	8.21043e+08
61	9.2861e+09	-3.79074e+09	1.67852e+10	4.47624e+09
62	1.47186e+10	-3.05607e+09	2.60661e+10	1.07341e+10
63	3.23983e+10	-4.39443e+09	4.43173e+10	2.16657e+10


TWO POINT CORRELATION: ../tsrc0/nuc3pt.dat.616

0	1.09529e+11	-1.34865e+10	1.05096e+11	1.65295e+10
1	2.68686e+11	-9.85266e+09	-5.68274e+10	3.37819e+09
2	1.62126e+11	1.52171e+10	-2.31743e+10	-3.56223e+09
3	6.60326e+10	4.93518e+09	-7.57391e+09	-3.5123e+09
4	3.14225e+10	2.06338e+09	-5.24655e+09	-2.77537e+09
5	1.54368e+10	3.23558e+09	-1.75128e+09	-1.72559e+09
6	5.39645e+09	6.46104e+08	-1.95147e+08	-5.90422e+08
7	4.29425e+09	1.41568e+09	7.77268e+08	-3.76669e+08
8	1.09469e+09	6.27661e+08	8.23052e+08	-4.74902e+08
9	4.58976e+08	5.67351e+07	3.41451e+08	-1.27175e+08
10	4.33645e+08	-1.38446e+06	5.65691e+07	1.69825e+07
11	-1.63889e+07	1.63981e+07	-5.5897e+07	-5.85324e+07
12	9.23436e+07	1.78075e+08	-7.97319e+07	-1.73048e+07
13	1.2218e+08	1.36415e+08	-3.85949e+07	3.39818e+07
14	-2.72277e+07	4.13207e+07	-4.17494e+07	-2.86102e+07
15	-2.29013e+07	1.06947e+07	2.13895e+07	-7.6812e+06
16	-6.35278e+07	1.57e+07	1.94905e+07	-2.15786e+07
17	2.15682e+06	5.79725e+07	7.81615e+06	9.68666e+06
